state_id,state,week_start,network_id,selected_stores,selected_families,baseline_demand,current_demand,absolute_demand_shift,relative_demand_shift,positive_demand_shift,negative_demand_shift,promotion_intensity,holiday_flag,transactions_change,inventory_to_demand_ratio,capacity_slack_ratio,demand_concentration,incumbent_inventory_concentration,transport_cost_cv,transport_substitutability_proxy,incumbent_inventory_source,oracle_repository,oracle_commit
pichincha-pichincha-context-2-20130128,Pichincha,2013-01-28,pichincha-context-2,11|49|10|4|7,CLEANING|DAIRY|BREAD/BAKERY,62634.452997500004,67578.929,4944.4760025,0.07894179266956085,0.07894179266956085,0.0,0.0,False,0.043845191353497,1.019517463753384,0.16333683588616843,0.10052104549972915,0.2559661247238432,0.1705416887222656,0.0,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
guayas-guayas-context-1-20130513,Guayas,2013-05-13,guayas-context-1,32|30|36|27|51,CLEANING|DAIRY|BREAD/BAKERY,43616.0792775,56135.617,12519.537722499997,0.2870395030889075,0.2870395030889075,0.0,0.0,False,0.1371539783137168,0.8546746213771909,0.19423927180302986,0.1018504349359235,0.18506830280916267,0.23624156944469854,0.2,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
pichincha-pichincha-context-1-20140728,Pichincha,2014-07-28,pichincha-context-1,10|17|7|49|44,GROCERY I|BEVERAGES|PRODUCE,454858.19823750004,351497.91000000003,-103360.2882375,-0.22723628734846146,0.0,-0.22723628734846146,0.002136570314173418,False,0.003969180480971282,1.4234622847721914,0.4020481177638896,0.0981815888806266,0.1758049609238657,0.1374045122985414,0.6,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
guayas-guayas-context-2-20140825,Guayas,2014-08-25,guayas-context-2,34|27|32|35|36,GROCERY I|BEVERAGES|PRODUCE,130084.77425,119148.628,-10936.146250000005,-0.08406937947236362,0.0,-0.08406937947236362,0.0018632191047974133,False,-0.02241688234123034,1.2009643256236238,0.5068039834947049,0.14321730378836062,0.3515940523925702,0.1716605549165161,0.4,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
pichincha-pichincha-context-2-20141124,Pichincha,2014-11-24,pichincha-context-2,11|49|10|4|7,CLEANING|DAIRY|BREAD/BAKERY,95179.433525,93076.876,-2102.5575249999965,-0.022090460587241623,0.0,-0.022090460587241623,0.0009132236023907807,True,0.001305549168540552,1.1248484196815973,0.342338259842961,0.08895066311488162,0.23913359334944415,0.1705416887222656,0.0,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
guayas-guayas-context-2-20141229,Guayas,2014-12-29,guayas-context-2,34|27|32|35|36,GROCERY I|BEVERAGES|PRODUCE,226999.26369899997,205514.91300000003,-21484.350698999944,-0.09464502372786592,0.0,-0.09464502372786592,0.004987472612267315,True,0.22320936930831461,1.214993045633141,0.38344294490289016,0.0959798437441181,0.25445920135540706,0.1716605549165161,0.4,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
pichincha-pichincha-context-1-20150629,Pichincha,2015-06-29,pichincha-context-1,10|17|7|49|44,GROCERY I|BEVERAGES|PRODUCE,522625.80125,557627.2531999999,35001.4519499999,0.06697230000180726,0.06697230000180726,0.0,0.0019224311470578607,False,0.009850614946156347,1.0309545992882259,0.168068500452616,0.09040149053031105,0.17185329445761638,0.1374045122985414,0.6,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
guayas-guayas-context-1-20150914,Guayas,2015-09-14,guayas-context-1,32|30|36|27|51,CLEANING|DAIRY|BREAD/BAKERY,72413.219025,75909.845,3496.6259750000027,0.048287122462997045,0.048287122462997045,0.0,0.008457401013004308,False,0.044292374793201986,1.0493308335368094,0.2118228414186187,0.09360492586848435,0.1831516465993455,0.23624156944469854,0.2,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
guayas-guayas-context-2-20150914,Guayas,2015-09-14,guayas-context-2,34|27|32|35|36,GROCERY I|BEVERAGES|PRODUCE,217844.1677725,242810.06110000002,24965.89332750003,0.11460436872274922,0.11460436872274922,0.0,0.007100200017205959,False,0.04925607614823029,0.9868972622640225,0.18349220719591278,0.0946714457587213,0.23198986753770307,0.1716605549165161,0.4,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
pichincha-pichincha-context-2-20151012,Pichincha,2015-10-12,pichincha-context-2,11|49|10|4|7,CLEANING|DAIRY|BREAD/BAKERY,106213.322,101927.535,-4285.786999999997,-0.040350748091656494,0.0,-0.040350748091656494,0.004473766583288804,False,-0.047346076265488424,1.1462521309869802,0.3221244752575861,0.09173861028847606,0.2425789389993294,0.1705416887222656,0.0,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
pichincha-pichincha-context-2-20151019,Pichincha,2015-10-19,pichincha-context-2,11|49|10|4|7,CLEANING|DAIRY|BREAD/BAKERY,106267.67325,99829.24799999999,-6438.425250000015,-0.06058686572400337,0.0,-0.06058686572400337,0.003335695767236472,False,-0.028347245020314556,1.1709438157342424,0.3360792657976024,0.09062496356153175,0.24262757249148278,0.1705416887222656,0.0,CALIBRATED,Hoshino12172003/budget-inventory-benders,51aebd06edf8f5d6d124d0f3eebdbb901e63274f
